,precision,recall,f1-score,support
2-sat,1.0,0.375,0.5454545454545454,16.0
3-sat,0.8688524590163934,0.8153846153846154,0.8412698412698413,65.0
algorithm-analysis,0.6168958742632613,0.4937106918238994,0.548471615720524,636.0
algorithm-design,1.0,0.18518518518518517,0.3125,27.0
algorithms,0.6416782660568702,0.8323445963373742,0.7246799910172917,3877.0
ambiguity,0.7878787878787878,0.5098039215686274,0.6190476190476191,51.0
amortized-analysis,0.9782608695652174,0.8490566037735849,0.9090909090909091,53.0
applied-theory,0.7741935483870968,0.4897959183673469,0.6,49.0
approximation,0.8192771084337349,0.6325581395348837,0.7139107611548556,215.0
arithmetic,0.6363636363636364,0.5436893203883495,0.5863874345549738,103.0
arrays,0.7412587412587412,0.6272189349112426,0.6794871794871795,169.0
artificial-intelligence,0.6467065868263473,0.5454545454545454,0.5917808219178082,198.0
assignment-problem,0.8421052631578947,0.8,0.8205128205128205,20.0
asymptotics,0.7741176470588236,0.8083538083538083,0.7908653846153846,407.0
automata,0.6225165562913907,0.7244701348747592,0.6696349065004452,519.0
automated-theorem-proving,0.75,0.8372093023255814,0.7912087912087912,43.0
average-case,0.7837837837837838,1.0,0.8787878787878788,29.0
backtracking,1.0,0.6296296296296297,0.7727272727272727,27.0
balanced-search-trees,1.0,0.8260869565217391,0.9047619047619048,46.0
big-o-notation,0.6666666666666666,0.2926829268292683,0.4067796610169492,41.0
binary,1.0,0.5909090909090909,0.7428571428571429,22.0
binary-arithmetic,0.7894736842105263,0.4838709677419355,0.6,31.0
binary-search,0.8235294117647058,0.8235294117647058,0.8235294117647058,34.0
binary-search-trees,0.8333333333333334,0.47619047619047616,0.6060606060606061,21.0
binary-trees,0.6341463414634146,0.8524590163934426,0.7272727272727273,183.0
bipartite-matching,0.828125,0.7361111111111112,0.7794117647058824,72.0
bloom-filters,1.0,1.0,1.0,23.0
board-games,0.711864406779661,0.9545454545454546,0.8155339805825242,44.0
books,0.9333333333333333,0.8235294117647058,0.875,51.0
boolean-algebra,0.8405797101449275,0.7435897435897436,0.7891156462585034,78.0
c,1.0,1.0,1.0,21.0
category-theory,0.9402985074626866,0.9545454545454546,0.9473684210526315,66.0
cellular-automata,1.0,1.0,1.0,30.0
check-my-answer,1.0,0.13333333333333333,0.23529411764705882,15.0
check-my-proof,1.0,0.28,0.4375,25.0
chomsky-hierarchy,0.25,0.16666666666666666,0.2,6.0
church-turing-thesis,1.0,0.6304347826086957,0.7733333333333333,46.0
