,precision,recall,f1-score,support
10,0.3333333333333333,0.5,0.4,2.0
1000,0.0,0.0,0.0,5.0
1002,0.0,0.0,0.0,0.0
1004,0.0,0.0,0.0,0.0
1005,0.5869565217391305,0.5046728971962616,0.542713567839196,107.0
1006,0.75,0.6,0.6666666666666666,5.0
1007,0.0,0.0,0.0,1.0
1008,0.0,0.0,0.0,1.0
1010,0.0,0.0,0.0,0.0
1011,0.0,0.0,0.0,0.0
1012,0.0,0.0,0.0,1.0
1015,0.5625,0.9,0.6923076923076923,10.0
1018,0.5,0.5,0.5,2.0
1019,0.6896551724137931,0.8888888888888888,0.7766990291262136,45.0
1021,1.0,0.08333333333333333,0.15384615384615385,12.0
1024,0.0,0.0,0.0,0.0
1025,0.6470588235294118,0.4782608695652174,0.55,23.0
1026,0.5384615384615384,0.7777777777777778,0.6363636363636364,9.0
1027,0.0,0.0,0.0,0.0
1028,0.0,0.0,0.0,0.0
1029,0.0,0.0,0.0,1.0
1030,1.0,1.0,1.0,5.0
1031,0.9117647058823529,0.9117647058823529,0.9117647058823529,34.0
1034,0.0,0.0,0.0,0.0
1035,0.8461538461538461,0.6875,0.7586206896551724,16.0
1036,0.5,1.0,0.6666666666666666,2.0
1037,0.0,0.0,0.0,0.0
1038,0.0,0.0,0.0,0.0
1039,0.0,0.0,0.0,0.0
1042,0.0,0.0,0.0,1.0
1043,0.3333333333333333,1.0,0.5,2.0
1047,1.0,0.5,0.6666666666666666,2.0
1048,0.6585365853658537,0.9642857142857143,0.782608695652174,28.0
105,0.0,0.0,0.0,0.0
1050,0.0,0.0,0.0,0.0
1051,0.0,0.0,0.0,1.0
1052,0.5675675675675675,0.84,0.6774193548387096,25.0
1054,0.0,0.0,0.0,0.0
1056,0.0,0.0,0.0,1.0
1057,0.0,0.0,0.0,0.0
1058,0.0,0.0,0.0,0.0
1059,0.0,0.0,0.0,0.0
1060,0.0,0.0,0.0,0.0
1063,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
1069,0.3333333333333333,0.09090909090909091,0.14285714285714285,11.0
1070,0.0,0.0,0.0,1.0
1072,0.0,0.0,0.0,1.0
1073,0.0,0.0,0.0,1.0
1074,0.6785714285714286,0.7916666666666666,0.7307692307692307,24.0
1075,0.6666666666666666,0.2857142857142857,0.4,7.0
1076,1.0,0.125,0.2222222222222222,8.0
1077,0.0,0.0,0.0,1.0
1078,1.0,0.6666666666666666,0.8,3.0
1079,0.0,0.0,0.0,2.0
1083,0.0,0.0,0.0,1.0
1084,0.0,0.0,0.0,0.0
1085,0.6433566433566433,0.8363636363636363,0.7272727272727273,110.0
1086,0.6785714285714286,1.0,0.8085106382978723,19.0
1087,0.0,0.0,0.0,0.0
1088,0.45454545454545453,0.8333333333333334,0.5882352941176471,6.0
1089,0.5,1.0,0.6666666666666666,1.0
109,0.0,0.0,0.0,0.0
1091,1.0,0.8771929824561403,0.9345794392523364,57.0
1092,0.25,0.2,0.2222222222222222,5.0
1093,0.0,0.0,0.0,0.0
1095,0.5,0.6666666666666666,0.5714285714285714,3.0
1099,0.0,0.0,0.0,1.0
11,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
110,0.0,0.0,0.0,0.0
1100,1.0,0.8,0.8888888888888888,5.0
1102,0.6571428571428571,0.5476190476190477,0.5974025974025974,42.0
