,precision,recall,f1-score,support
10,1.0,0.5,0.6666666666666666,2.0
1000,0.0,0.0,0.0,5.0
1002,0.0,0.0,0.0,0.0
1004,0.0,0.0,0.0,0.0
1005,0.3074074074074074,0.7757009345794392,0.4403183023872679,107.0
1006,0.7142857142857143,1.0,0.8333333333333334,5.0
1007,0.0,0.0,0.0,1.0
1008,0.0,0.0,0.0,1.0
1010,0.0,0.0,0.0,0.0
1011,0.0,0.0,0.0,0.0
1012,0.0,0.0,0.0,1.0
1015,0.9,0.9,0.9,10.0
1018,0.25,0.5,0.3333333333333333,2.0
1019,0.5285714285714286,0.8222222222222222,0.6434782608695652,45.0
1021,0.3333333333333333,0.3333333333333333,0.3333333333333333,12.0
1024,0.0,0.0,0.0,0.0
1025,0.25,0.6956521739130435,0.367816091954023,23.0
1026,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
1027,0.0,0.0,0.0,0.0
1028,0.0,0.0,0.0,0.0
1029,0.0,0.0,0.0,1.0
1030,1.0,1.0,1.0,5.0
1031,0.8461538461538461,0.9705882352941176,0.9041095890410958,34.0
1034,0.0,0.0,0.0,0.0
1035,0.5909090909090909,0.8125,0.6842105263157895,16.0
1036,0.6666666666666666,1.0,0.8,2.0
1037,0.0,0.0,0.0,0.0
1038,0.0,0.0,0.0,0.0
1039,0.0,0.0,0.0,0.0
1042,0.0,0.0,0.0,1.0
1043,0.5,1.0,0.6666666666666666,2.0
1047,0.5,1.0,0.6666666666666666,2.0
1048,0.8484848484848485,1.0,0.9180327868852459,28.0
105,0.0,0.0,0.0,0.0
1050,0.0,0.0,0.0,0.0
1051,0.0,0.0,0.0,1.0
1052,0.39344262295081966,0.96,0.5581395348837209,25.0
1054,0.0,0.0,0.0,0.0
1056,0.0,0.0,0.0,1.0
1057,0.0,0.0,0.0,0.0
1058,0.0,0.0,0.0,0.0
1059,0.0,0.0,0.0,0.0
1060,0.0,0.0,0.0,0.0
1063,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
1069,0.08823529411764706,0.2727272727272727,0.13333333333333333,11.0
1072,0.0,0.0,0.0,1.0
1073,0.0,0.0,0.0,1.0
1074,0.5675675675675675,0.875,0.6885245901639344,24.0
1075,0.2857142857142857,0.2857142857142857,0.2857142857142857,7.0
1076,0.08333333333333333,0.125,0.1,8.0
1077,0.0,0.0,0.0,1.0
1078,1.0,0.6666666666666666,0.8,3.0
1079,0.0,0.0,0.0,2.0
1083,0.0,0.0,0.0,1.0
1084,0.0,0.0,0.0,0.0
1085,0.46842105263157896,0.8090909090909091,0.5933333333333334,110.0
1086,0.76,1.0,0.8636363636363636,19.0
1087,0.0,0.0,0.0,0.0
1088,0.5,0.8333333333333334,0.625,6.0
1089,1.0,1.0,1.0,1.0
109,0.0,0.0,0.0,0.0
1091,0.9473684210526315,0.9473684210526315,0.9473684210526315,57.0
1092,0.16666666666666666,0.2,0.18181818181818182,5.0
1093,0.0,0.0,0.0,0.0
1095,1.0,0.3333333333333333,0.5,3.0
1099,0.0,0.0,0.0,1.0
11,0.26666666666666666,0.4444444444444444,0.3333333333333333,9.0
110,0.0,0.0,0.0,0.0
1100,1.0,0.4,0.5714285714285714,5.0
1102,0.3956043956043956,0.8571428571428571,0.5413533834586466,42.0
1103,0.0,0.0,0.0,0.0
1104,0.25,0.6666666666666666,0.36363636363636365,3.0
1106,0.0,0.0,0.0,3.0
1107,0.0,0.0,0.0,1.0
1108,1.0,0.5,0.6666666666666666,2.0
1109,0.0,0.0,0.0,0.0
111,1.0,1.0,1.0,1.0
1110,0.0,0.0,0.0,7.0
1111,0.0,0.0,0.0,0.0
1112,0.0,0.0,0.0,0.0
1114,0.0,0.0,0.0,2.0
1115,0.33116883116883117,0.8793103448275862,0.4811320754716981,58.0
1116,0.3,0.8571428571428571,0.4444444444444444,7.0
1117,0.3431372549019608,0.9722222222222222,0.5072463768115942,144.0
1118,0.8168103448275862,0.9895561357702349,0.8949232585596222,383.0
1119,0.42,0.9545454545454546,0.5833333333333334,22.0
112,0.0,0.0,0.0,0.0
1120,0.8421052631578947,0.8648648648648649,0.8533333333333334,37.0
1122,0.0,0.0,0.0,0.0
1123,0.0,0.0,0.0,0.0
1124,0.0,0.0,0.0,0.0
1125,0.8888888888888888,0.6666666666666666,0.7619047619047619,12.0
1127,0.0,0.0,0.0,0.0
1128,1.0,1.0,1.0,1.0
1129,0.19047619047619047,0.2857142857142857,0.22857142857142856,14.0
1130,0.75,0.75,0.75,4.0
1131,1.0,1.0,1.0,1.0
1132,0.0,0.0,0.0,0.0
1134,0.375,0.6,0.46153846153846156,10.0
1136,0.35,0.6666666666666666,0.45901639344262296,21.0
1139,0.0,0.0,0.0,1.0
114,0.2222222222222222,0.6666666666666666,0.3333333333333333,6.0
1140,0.0,0.0,0.0,1.0
1141,0.3333333333333333,0.4,0.36363636363636365,5.0
1142,0.0,0.0,0.0,0.0
1143,0.0,0.0,0.0,1.0
1144,0.3125,0.5555555555555556,0.4,9.0
1145,0.0,0.0,0.0,0.0
1146,1.0,1.0,1.0,8.0
1147,0.0,0.0,0.0,0.0
115,0.42857142857142855,0.42857142857142855,0.42857142857142855,7.0
1154,0.4166666666666667,1.0,0.5882352941176471,5.0
1155,0.6666666666666666,0.5,0.5714285714285714,4.0
1156,0.0,0.0,0.0,0.0
1158,0.375,0.6923076923076923,0.4864864864864865,13.0
1159,0.3669064748201439,0.85,0.5125628140703518,60.0
116,0.0,0.0,0.0,0.0
1160,0.2857142857142857,0.4,0.3333333333333333,5.0
1161,0.0,0.0,0.0,2.0
1162,0.0,0.0,0.0,0.0
1163,0.0,0.0,0.0,0.0
1164,0.5789473684210527,0.9166666666666666,0.7096774193548387,12.0
1165,0.0,0.0,0.0,0.0
1166,0.0,0.0,0.0,1.0
1167,0.0,0.0,0.0,0.0
1168,0.0,0.0,0.0,0.0
1170,0.16666666666666666,0.5,0.25,4.0
1172,0.0,0.0,0.0,1.0
1174,1.0,1.0,1.0,1.0
1177,0.0,0.0,0.0,0.0
1178,0.0,0.0,0.0,0.0
1182,0.504424778761062,0.76,0.6063829787234043,75.0
1183,0.0,0.0,0.0,0.0
1184,0.5,1.0,0.6666666666666666,1.0
1185,0.0,0.0,0.0,0.0
1186,0.0,0.0,0.0,0.0
1188,0.6,0.8571428571428571,0.7058823529411765,14.0
1189,0.0,0.0,0.0,0.0
1190,0.0,0.0,0.0,0.0
1191,0.0,0.0,0.0,0.0
1193,0.0,0.0,0.0,0.0
1195,0.0,0.0,0.0,0.0
1196,0.6,0.75,0.6666666666666666,4.0
1197,1.0,1.0,1.0,1.0
1199,0.0,0.0,0.0,0.0
12,0.34375,0.673469387755102,0.45517241379310347,49.0
1200,0.0,0.0,0.0,0.0
1201,0.3235294117647059,0.7674418604651163,0.45517241379310347,43.0
1202,0.0,0.0,0.0,0.0
1204,0.0,0.0,0.0,2.0
1206,0.7142857142857143,1.0,0.8333333333333334,10.0
1207,0.0,0.0,0.0,2.0
1208,0.0,0.0,0.0,0.0
1209,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,1.0
1211,0.0,0.0,0.0,0.0
1216,0.5,1.0,0.6666666666666666,6.0
1217,0.8333333333333334,1.0,0.9090909090909091,5.0
1218,0.0,0.0,0.0,0.0
1219,0.0,0.0,0.0,0.0
1220,0.0,0.0,0.0,0.0
1224,0.3563218390804598,0.8378378378378378,0.5,37.0
1225,0.0,0.0,0.0,0.0
1227,0.0,0.0,0.0,0.0
1228,0.2727272727272727,1.0,0.42857142857142855,3.0
1229,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0
1230,0.0,0.0,0.0,0.0
1231,0.0,0.0,0.0,0.0
1232,0.3333333333333333,0.5,0.4,2.0
1233,0.36363636363636365,0.9411764705882353,0.5245901639344263,17.0
1234,0.37142857142857144,0.7647058823529411,0.5,17.0
1235,1.0,1.0,1.0,1.0
1236,0.0,0.0,0.0,0.0
1239,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
1240,0.5,0.5,0.5,2.0
1241,1.0,1.0,1.0,1.0
1247,0.0,0.0,0.0,0.0
1248,0.0,0.0,0.0,0.0
1249,0.0,0.0,0.0,0.0
1250,0.03508771929824561,0.6666666666666666,0.06666666666666667,3.0
1252,0.35135135135135137,0.8125,0.49056603773584906,16.0
1253,0.0,0.0,0.0,0.0
1254,0.8,1.0,0.8888888888888888,4.0
1255,0.375,0.7741935483870968,0.5052631578947369,31.0
1256,0.0,0.0,0.0,0.0
1258,0.22580645161290322,0.28,0.25,25.0
1260,0.3333333333333333,0.5,0.4,2.0
1261,0.8695652173913043,0.9090909090909091,0.8888888888888888,22.0
1262,0.0,0.0,0.0,1.0
1264,0.6460176991150443,0.948051948051948,0.7684210526315789,77.0
1265,0.0,0.0,0.0,1.0
1266,0.0,0.0,0.0,1.0
1267,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
1268,0.0,0.0,0.0,0.0
1269,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0
1270,0.4642857142857143,0.8125,0.5909090909090909,16.0
1273,0.0,0.0,0.0,2.0
1274,0.25,0.3333333333333333,0.2857142857142857,3.0
1275,0.0,0.0,0.0,2.0
1277,0.3837837837837838,0.9466666666666667,0.5461538461538461,75.0
1279,0.46153846153846156,0.8571428571428571,0.6,7.0
128,0.0,0.0,0.0,0.0
