,precision,recall,f1-score,support
10,0.0,0.0,0.0,2.0
1000,0.0,0.0,0.0,5.0
1002,0.0,0.0,0.0,0.0
1004,0.0,0.0,0.0,0.0
1005,0.0,0.0,0.0,107.0
1006,0.0,0.0,0.0,5.0
1007,0.0,0.0,0.0,1.0
1008,0.0,0.0,0.0,1.0
1010,0.0,0.0,0.0,0.0
1011,0.0,0.0,0.0,0.0
1012,0.0,0.0,0.0,1.0
1015,0.0,0.0,0.0,10.0
1018,0.0,0.0,0.0,2.0
1019,1.0,0.022222222222222223,0.043478260869565216,45.0
1021,1.0,0.08333333333333333,0.15384615384615385,12.0
1024,0.0,0.0,0.0,0.0
1025,0.05084745762711865,0.13043478260869565,0.07317073170731707,23.0
1026,0.0,0.0,0.0,9.0
1027,0.0,0.0,0.0,0.0
1028,0.0,0.0,0.0,0.0
1029,0.0,0.0,0.0,1.0
1030,0.0,0.0,0.0,5.0
1031,0.0,0.0,0.0,34.0
1034,0.0,0.0,0.0,0.0
1035,0.2,0.125,0.15384615384615385,16.0
1036,0.0,0.0,0.0,2.0
1037,0.0,0.0,0.0,0.0
1038,0.0,0.0,0.0,0.0
1039,0.0,0.0,0.0,0.0
1042,0.0,0.0,0.0,1.0
1043,0.0,0.0,0.0,2.0
1047,0.0,0.0,0.0,2.0
1048,0.0,0.0,0.0,28.0
105,0.0,0.0,0.0,0.0
1050,0.0,0.0,0.0,0.0
1051,0.0,0.0,0.0,1.0
1052,0.25,0.24,0.24489795918367346,25.0
1054,0.0,0.0,0.0,0.0
1056,0.0,0.0,0.0,1.0
1057,0.0,0.0,0.0,0.0
1058,0.0,0.0,0.0,0.0
1059,0.0,0.0,0.0,0.0
1060,0.0,0.0,0.0,0.0
1063,0.0,0.0,0.0,3.0
1069,0.018691588785046728,0.36363636363636365,0.035555555555555556,11.0
1070,0.0,0.0,0.0,1.0
1072,0.0,0.0,0.0,1.0
1073,0.0,0.0,0.0,1.0
1074,0.25,0.08333333333333333,0.125,24.0
1075,0.0,0.0,0.0,7.0
1076,0.0,0.0,0.0,8.0
1077,0.0,0.0,0.0,1.0
1078,0.0,0.0,0.0,3.0
1079,0.0,0.0,0.0,2.0
1083,0.0,0.0,0.0,1.0
1084,0.0,0.0,0.0,0.0
1085,0.0,0.0,0.0,110.0
1086,1.0,0.05263157894736842,0.1,19.0
1087,0.0,0.0,0.0,0.0
1088,0.0,0.0,0.0,6.0
1089,0.0,0.0,0.0,1.0
109,0.0,0.0,0.0,0.0
1091,0.0,0.0,0.0,57.0
